OBJECTID,Community Statistical Area (2010),2016,2017,2018,2019,Community Statistical Area (2020),2020,2021,2022,2023
45,Pimlico/Arlington/Hilltop,263879.5987,147147.651,491054,166808,Pimlico/Arlington/Hilltop,404726,509810.12658227846,4705287.456445993,2087030.7167235496
46,Poppleton/The Terraces/Hollins Market,5896431.092,1010824.742,14821078,441559559,Poppleton/The Terraces/Hollins Market,1699898,19664059.876404494,818027.8106508875,814709.7957142858
47,Sandtown-Winchester/Harlem Park,315536.7232,325649.3506,226689,316800,Sandtown-Winchester/Harlem Park,410544,759600.0,15926041.176470587,6326063.829787234
48,South Baltimore,1198178.09,11065730.41,1363115,7443005,South Baltimore,30723217,7615376.856269117,1315546.218487395,309920.6349206349
49,Southeastern,2914801.087,2124381.327,4167104,3132133,Southeastern,4710951,15638203.461845685,2497456.6390041495,117203982.34126985
50,Southern Park Heights,319325.1534,773913.0435,934375,963014,Southern Park Heights,2126948,1884353.7414965988,120718938.65168539,5453214.989059081
51,Southwest Baltimore,880416.6667,736222.9102,626590,841270,Southwest Baltimore,718491,1439214.0468227423,455479.4520547945,816918.3006535948
52,The Waverlies,1425546.108,6334891.411,1010369,1644580,The Waverlies,1512928,1805960.2649006622,5561241.610738255,1383163.2653061224
53,Upton/Druid Heights,123026.3158,159090.9091,417257,159110,Upton/Druid Heights,643919,481056.3679245283,1099843.3544303798,994551.282051282
54,Washington Village/Pigtown,2393633.54,2155083.559,1657123,2553274,Pigtown/Carroll Park,3275535,7783378.025362319,220305.6768558952,220689.65517241383
55,Westport/Mount Winans/Lakeland,1817980.296,2641060.651,3146243,3013636,Westport/Mount Winans/Lakeland,1691515,4356089.743589744,2278801.290322581,1602302.6315789474
