"region_id","zip_code","state","city","date","median_price","initial_price","pct_change"
58695,"02215","MA","Boston",2000-01-31,151961.322299724,151961.322299724,0
58695,"02215","MA","Boston",2000-02-29,152714.885545632,151961.322299724,0.495891477188634
58695,"02215","MA","Boston",2000-03-31,153757.240919376,151961.322299724,1.18182613343538
58695,"02215","MA","Boston",2000-04-30,155967.043219291,151961.322299724,2.63601346641737
58695,"02215","MA","Boston",2000-05-31,157799.0429258,151961.322299724,3.84158319875722
58695,"02215","MA","Boston",2000-06-30,159524.356274996,151961.322299724,4.97694667354561
58695,"02215","MA","Boston",2000-07-31,161447.24027631,151961.322299724,6.24232392363337
58695,"02215","MA","Boston",2000-08-31,164959.090672595,151961.322299724,8.55333987370405
58695,"02215","MA","Boston",2000-09-30,168837.163724508,151961.322299724,11.1053531052451
58695,"02215","MA","Boston",2000-10-31,172618.695754736,151961.322299724,13.5938363409786
58695,"02215","MA","Boston",2000-11-30,175337.875497188,151961.322299724,15.3832257074972
58695,"02215","MA","Boston",2000-12-31,177881.212211458,151961.322299724,17.0568994264278
58695,"02215","MA","Boston",2001-01-31,180576.226496949,151961.322299724,18.830386419503
58695,"02215","MA","Boston",2001-02-28,183665.224193294,151961.322299724,20.8631389973284
58695,"02215","MA","Boston",2001-03-31,187230.0451,151961.322299724,23.2090128373011
58695,"02215","MA","Boston",2001-04-30,190429.709349483,151961.322299724,25.3145908890453
58695,"02215","MA","Boston",2001-05-31,193640.170256064,151961.322299724,27.4272738125646
58695,"02215","MA","Boston",2001-06-30,196544.384,151961.322299724,29.3384270586572
58695,"02215","MA","Boston",2001-07-31,200174.558495531,151961.322299724,31.7273076241812
58695,"02215","MA","Boston",2001-08-31,203945.57409559,151961.322299724,34.2088703948844
58695,"02215","MA","Boston",2001-09-30,208570.676104353,151961.322299724,37.2524751350701
58695,"02215","MA","Boston",2001-10-31,212992.867657919,151961.322299724,40.1625521774664
58695,"02215","MA","Boston",2001-11-30,217259.513703588,151961.322299724,42.9702706028517
58695,"02215","MA","Boston",2001-12-31,220400.685025146,151961.322299724,45.0373566705574
58695,"02215","MA","Boston",2002-01-31,222989.994420941,151961.322299724,46.7412832728067
58695,"02215","MA","Boston",2002-02-28,225198.335596035,151961.322299724,48.1945090947943
58695,"02215","MA","Boston",2002-03-31,227503.71162722,151961.322299724,49.711589886338
58695,"02215","MA","Boston",2002-04-30,229445.5664,151961.322299724,50.989451083775
58695,"02215","MA","Boston",2002-05-31,230874.600223957,151961.322299724,51.9298442064005
58695,"02215","MA","Boston",2002-06-30,231715.964511423,151961.322299724,52.4835142289643
58695,"02215","MA","Boston",2002-07-31,232329.772839453,151961.322299724,52.8874382793352
58695,"02215","MA","Boston",2002-08-31,233036.924171805,151961.322299724,53.3527878312149
58695,"02215","MA","Boston",2002-09-30,233521.426987245,151961.322299724,53.6716208132579
58695,"02215","MA","Boston",2002-10-31,234370.4885,151961.322299724,54.230356088725
58695,"02215","MA","Boston",2002-11-30,235939.077848481,151961.322299724,55.2625854249419
58695,"02215","MA","Boston",2002-12-31,238296.731385243,151961.322299724,56.8140680661049
58695,"02215","MA","Boston",2003-01-31,240568.315730271,151961.322299724,58.3089118267746
58695,"02215","MA","Boston",2003-02-28,242609.77036829,151961.322299724,59.6523159292948
58695,"02215","MA","Boston",2003-03-31,244376.337488291,151961.322299724,60.814826950696
58695,"02215","MA","Boston",2003-04-30,246428.9558564,151961.322299724,62.1655774818477
58695,"02215","MA","Boston",2003-05-31,248468.349194843,151961.322299724,63.5076251210628
58695,"02215","MA","Boston",2003-06-30,250373.054365081,151961.322299724,64.7610395698266
58695,"02215","MA","Boston",2003-07-31,252070.187324156,151961.322299724,65.8778585954785
58695,"02215","MA","Boston",2003-08-31,253018.409712536,151961.322299724,66.5018478935643
58695,"02215","MA","Boston",2003-09-30,253368.752001605,151961.322299724,66.7323949062952
58695,"02215","MA","Boston",2003-10-31,253760.68213349,151961.322299724,66.9903093057978
58695,"02215","MA","Boston",2003-11-30,254736.98627787,151961.322299724,67.6327781456348
