Team,Status,Sponsor,Notes
Tennessee St.,Public,,
Tennessee Tech,Public,,
Tex. A&M-Commerce,Public,,
Texas,Public,,
Texas A&M,Public,,
Texas Southern,Public,,
Texas St.,Public,,
Texas Tech,Public,,
The Citadel,Public,,
Toledo,Public,,
Towson,Public,,
Troy,Public,,
Tulane,Private,,
Tulsa,Private,,
UAB,Public,,
UAlbany,Public,,
UC Davis,Public,,
UC Irvine,Public,,
UC Riverside,Public,,
UC San Diego,Public,,
UC Santa Barbara,Public,,
UCF,Public,,
UCLA,Public,,
UConn,Public,,
UIC,Public,,
UIW,Private,,
ULM,Public,,
UMBC,Public,,
UMES,Public,,
UNC Asheville,Public,,
UNC Greensboro,Public,,
UNCW,Public,,
UNI,Public,,
UNLV,Public,,
USC Upstate,Public,,
UT Arlington,Public,,
UT Martin,Public,,
UTEP,Public,,
UTRGV,Public,,
UTSA,Public,,
Utah,Public,,
Utah St.,Public,,
Utah Tech,Public,,
Utah Valley,Public,,
VCU,Public,,
Valparaiso,Private,,
Villanova,Private,,
Virginia,Public,Nike,
Virginia Tech,Public,Nike,
Wake Forest,Private,Nike,
Washington,Public,,
Washington St.,Public,,
Weber St.,Public,,
West Virginia,Public,,
Western Caro.,Public,,
Western Ill.,Public,,
Western Ky.,Public,,
Western Mich.,Public,,
Wichita St.,Public,,
William & Mary,Public,,
Winthrop,Public,,
Wisconsin,Public,,
Wofford,Private,,
Wright St.,Public,,
Wyoming,Public,,
Xavier,Private,,
Yale,Private,,
Youngstown St.,Public,,
