Date,Baltimore Convention Center event,Orioles home game,Ravens home game
2024-01-01,no,no,no
2024-01-02,no,no,no
2024-01-03,no,no,no
2024-01-04,no,no,no
2024-01-05,no,no,no
2024-01-06,no,no,no
2024-01-07,no,no,no
2024-01-08,no,no,no
2024-01-09,no,no,no
2024-01-10,no,no,no
2024-01-11,no,no,no
2024-01-12,no,no,no
2024-01-13,no,no,no
2024-01-14,no,no,no
2024-01-15,no,no,no
2024-01-16,no,no,no
2024-01-17,no,no,no
2024-01-18,no,no,no
2024-01-19,no,no,no
2024-01-20,no,no,yes
2024-01-21,no,no,no
2024-01-22,no,no,no
2024-01-23,no,no,no
2024-01-24,no,no,no
2024-01-25,no,no,no
2024-01-26,no,no,no
2024-01-27,no,no,no
2024-01-28,no,no,yes
2024-01-29,no,no,no
2024-01-30,no,no,no
2024-01-31,no,no,no
2024-02-01,no,no,no
2024-02-02,no,no,no
2024-02-03,no,no,no
2024-02-04,no,no,no
2024-02-05,no,no,no
2024-02-06,no,no,no
2024-02-07,no,no,no
2024-02-08,no,no,no
2024-02-09,no,no,no
2024-02-10,no,no,no
2024-02-11,no,no,no
2024-02-12,no,no,no
2024-02-13,no,no,no
2024-02-14,no,no,no
2024-02-15,no,no,no
2024-02-16,no,no,no
2024-02-17,no,no,no
2024-02-18,no,no,no
2024-02-19,no,no,no
2024-02-20,no,no,no
2024-02-21,no,no,no
2024-02-22,no,no,no
2024-02-23,no,no,no
2024-02-24,no,no,no
2024-02-25,no,no,no
2024-02-26,no,no,no
2024-02-27,no,no,no
2024-02-28,no,no,no
2024-02-29,no,no,no
2024-03-01,no,no,no
2024-03-02,no,no,no
2024-03-03,no,no,no
2024-03-04,no,no,no
2024-03-05,no,no,no
2024-03-06,no,no,no
2024-03-07,no,no,no
2024-03-08,no,no,no
2024-03-09,no,no,no
2024-03-10,no,no,no
2024-03-11,no,no,no
2024-03-12,no,no,no
2024-03-13,no,no,no
2024-03-14,no,no,no
2024-03-15,no,no,no
2024-03-16,no,no,no
2024-03-17,no,no,no
2024-03-18,no,no,no
2024-03-19,no,no,no
2024-03-20,no,no,no
2024-03-21,no,no,no
2024-03-22,no,no,no
2024-03-23,no,no,no
2024-03-24,no,no,no
2024-03-25,no,no,no
2024-03-26,no,no,no
2024-03-27,no,no,no
2024-03-28,no,yes,no
2024-03-29,no,no,no
2024-03-30,no,yes,no
